Job,Position,Data
"Developer, Digital Marketing",IT Software - Development,"['', '', '', 'Punchsheel Park', '', '₹ 15,000 to ₹ 30,000', '', '5 Years to 1 Year', '', '', 'Above Post Graduate', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '5 Opening (s)', '', '', '', '', 'Language-C/C++, Language-PHP, CMS-Drupal, CMS-Joomla, Framework-Dot Net', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Language-C/C++,Language-PHP,CMS-Drupal,CMS-Joomla,Framework-Dot Net ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Delivery / Field Job in Nathupur Gurgaon,Delivery / Field,"['', '', '', 'Nathupur', '', '₹ 10,000 to ₹ 17,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '5 Opening (s)', '', '', '', '', 'Delivery, Collection', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Delivery,Collection ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Carpenter for maintenance work,Carpenter,"['', '', '', 'Inderlok', '', '₹ 15,000 to ₹ 19,000', '', '1 Year to 3 Years', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Cutting, New design, Drilling, Framing, Repairs, Assembling & installing, Furniture-Sofa set, Furniture-Tables, Furniture-Chairs, Furniture-Bed, Furniture-Wardrobe, Furniture-Cabinet, Furniture-Door, Furniture-Window, Furniture-Dry wall work, Furniture-Wooden flooring', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Cutting,New design,Drilling,Framing,Repairs,Assembling & installing,Furniture-Sofa set,Furniture-Tables,Furniture-Chairs,Furniture-Bed,Furniture-Wardrobe,Furniture-Cabinet,Furniture-Door,Furn ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'APPLY NOW', '', '', '', '']"
Office Boy / Peon  Job in Sec.95 Gurgaon,Office Boy / Peon,"['', '', '', 'Sec.95', '', '₹ 10,000 to ₹ 14,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '5 Opening (s)', '', '', '', '', 'Pantry work, Filing documents, Cleaning & dusting, Incoming call handling, Inventory Management, Delivery & Collection, Basics of computer, Can operate-Microwave, Can operate-Vaccum Cleaner, Can operate-Scanner, Can operate-Printer, Can operate-Vending Machine', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Pantry work,Filing documents,Cleaning & dusting,Incoming call handling,Inventory Management,Delivery & Collection,Basics of computer,Can operate-Microwave,Can operate-Vaccum Cleaner,Can opera ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Mansarovar Jaipur,Cook / Helper,"['', '', '', 'Mansarovar', '', '₹ 5,000 to ₹ 14,000', '', '6 Months to 1 Year', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '1 Opening (s)', '', '', '', '', 'Can cook-Veg', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Khana banana aana chahiye ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing Job in Tilak Nagar Jaipur,Digital Marketing,"['', '', '', 'Tilak Nagar', '', '₹ 10,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Part Time (Morning)', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '50 Opening (s)', '', '', '', '', 'Marketing Platform-Google AdWords, Marketing Platform-Google AdSense', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Marketing Platform-Google AdWords,Marketing Platform-Google AdSense ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Call Center job in Kirti nagar Delhi,Call Center,"['', '', '', 'Kirti nagar', '', '₹ 8,000 to ₹ 13,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '30 Opening (s)', '', '', '', '', 'Outbound,  Voice', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Domestic outbound hindi telecaller ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Yamunavihar Delhi,Cook / Helper,"['', '', '', 'Yamunavihar', '', '₹ 5,000 to ₹ 7,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '1 Opening (s)', '', '', '', '', 'Vegetables cutting & washing, Kitchen cleaning, Can cook-Veg, Can cook-North Indian', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Cook for household ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Sales / Marketing job in Aurangabad Railway station Aurangabad Bihar,Sales / Marketing,"['', '', '', 'Aurangabad Railway station', '', '₹ 13,000 to ₹ 21,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'Hindi', '20 Opening (s)', '', '', '', '', 'Promoter', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Online products sale ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing Job in Vadgaon Sheri Pune,Sales / Marketing,"['', '', '', 'Vadgaon Sheri', '', '₹ 5,000 to ₹ 12,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi', 'Hindi,Marathi', '1 Opening (s)', '', '', '', '', 'Field Sales, Distributor / Dealer sales', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Field Sales,Distributor / Dealer sales ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Andheri East Mumbai,Cook / Helper,"['', '', '', 'Andheri East', '', '₹ 8,000 to ₹ 12,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Any Timing', '', '', 'Male', '', '', '', 'English,Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Basic skill of cooking', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Cook required for fast food outlet ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Noida Noida,Cook / Helper,"['', '', '', 'Noida', '', '₹ 5,000 to ₹ 16,000', '', '4 Months to 2.5 Years', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '2 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-Non veg, Can cook-North Indian, Can cook-Chinese, Can cook-Continental', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Can cook-Veg,Can cook-Non veg,Can cook-North Indian,Can cook-Chinese,Can cook-Continental ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Hindi Telecaller Outbound job in Kirti nagar Delhi,Call Center,"['', '', '', 'Kirti nagar', '', '₹ 5,000 to ₹ 13,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '30 Opening (s)', '', '', '', '', 'Outbound,  Voice', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Outbound, Voice ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Beautician / Salon job in Chapra Saran,Beautician / Salon,"['', '', '', 'Chapra', '', '₹ 5,000 to ₹ 30,000', '', '1 Month to 7+ Years', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '10 Opening (s)', '', '', '', '', 'Hair cutting,  Hair Spa,  Hair styling,  Hair removal,  Makeup,  Manicure,  Massage,  Facial,  Pedicure,  Skin care', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Hair cutting, Hair Spa, Hair styling, Hair removal, Makeup, Manicure, Massage, Facial, Pedicure, Skin care ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Shimlapuri Ludhiana,Office Assistant / Clerk / Back Office,"['', '', '', 'Shimlapuri', '', '₹ 5,000 to ₹ 28,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'English,Hindi', '1 Opening (s)', '', '', '', '', 'Communication centre,  Basics of computer,  Filing documents', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'I want female personal secretary for my office married and unmarried female both apply for this job part time also available ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Business Promotion,Sales / Marketing,"['', '', '', 'swarget', '', '₹ 5,000 to ₹ 28,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Marathi', 'Marathi', '20 Opening (s)', '', '', '', '', 'Good communication', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good communication ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Gurgaon Gurgaon,Sales / Marketing,"['', '', '', 'Gurgaon', '', '₹ 8,000 to ₹ 15,000', '', '6 Months to 1 Year', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'Hindi', '1 Opening (s)', '', '', '', '', 'Good communication,  Good confidence level,  Promoter,  Field Sales,  Door to door,  Distributor / Dealer sales', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good communication, Good confidence level, Promoter, Field Sales, Door to door, Distributor / Dealer sales ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Water Tank Cleaning Job In Delhi,Washer,"['', '', '', 'Rohini', '', '₹ 7,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '50 Opening (s)', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'CLEANING RESIDENTIALS WATER TANK AND DOING PROMOTIONAL ACTIVITIES ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing job in Mhc Manimajra Chandigarh,Digital Marketing,"['', '', '', 'mohali', '', '₹ 15,000 to ₹ 30,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '52 Opening (s)', '', '', '', '', 'Digital Media Planning', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Digital Media Planning ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
I Require office Staff For New Branches All Punjab ,Sales / Marketing,"['', '', '', 'batala', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Night)', '', '', '', '', 'Any Gender', '', 'Punjabi', 'Punjabi', '20 Opening (s)', '', '', '', '', 'Field Sales', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Field Sales ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in South City-i Gurgaon,Cook / Helper,"['', '', '', 'South City-i', '', '₹ 5,000 to ₹ 15,000', '', '6 Months to 1 Year', '', '', '10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '3 Opening (s)', '', '', '', '', 'Vegetables cutting & washing, Utensils cleaning, Grinding, Can cook-Veg, Can cook-Punjabi, Can cook-North Indian, Can cook-Indian sweets', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Vegetables cutting & washing,Utensils cleaning,Grinding,Can cook-Veg,Can cook-Punjabi,Can cook-North Indian,Can cook-Indian sweets ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Sales / Marketing Job in Connaught Place Delhi,Sales / Marketing,"['', '', '', 'Connaught Place', '', '₹ 5,000 to ₹ 10,000', '', '6 Months to 1 Year', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '2 Opening (s)', '', '', '', '', 'Field Sales, Good communication, Good confidence level', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Field Sales,Good communication,Good confidence level ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Housekeeping job in Keshav Puram Delhi,Housekeeping,"['', '', '', 'Keshav Puram', '', '₹ 10,000 to ₹ 11,000', '', '6 Months to 1 Year', '', '', '10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '40 Opening (s)', '', '', '', '', 'Outdoor Sweeping & Moping,  Indoor Sweeping & Moping', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Outdoor Sweeping & Moping, Indoor Sweeping & Moping ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Accountant Job In Ludhiana,Accountant,"['', '', '', 'Ludhiana', '', '₹ 15,000 to ₹ 22,000', '', '2 Years to 4 Years', '', '', 'B.Com', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '2 Opening (s)', '', '', '', '', 'Book keeping, Cash / Bank handling, Software-Tally, Software-ERP', '', '', '', '', 'Job Description', ' ', '', '', '', '', '2-5 yrs with expertise in TDS, GST Rules, regulations,Returns, Accounts Payable/Receivable ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Recruiter,HR / Administrator,"['', '', '', 'Naraina Industrial estate', '', '₹ 5,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'With Accommodation', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '4 Opening (s)', '', '', '', '', 'Hiring process, Training', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Hiring process,Training ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
It Executive Hardware Networking,IT Hardware / Networking,"['', '', '', 'Dharmatala', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English', 'Hindi,English,Bengali', '2 Opening (s)', '', '', '', '', 'Software installation & Trouble shooting, Hardware Installation, Network Engineering', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Software installation & Trouble shooting,Hardware Installation,Network Engineering ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Accountant Job in Vaishali Nagar Jaipur,Accountant,"['', '', '', 'Vaishali Nagar', '', '₹ 15,000 to ₹ 29,000', '', '1 Year to 3 Years', '', '', 'B.Com', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '1 Opening (s)', '', '', '', '', 'Software-Tally, Software-ERP, Software-MS Excel', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Junior accountant ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Ground Operation Staff In Chandigarh,Host / Hostess,"['', '', '', 'New Sectt chandigarh, Sector 18 (chandigarh), Chandigarh., Maloya Colony, Badheri', '', '₹ 18,000 to ₹ 38,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '52 Opening (s)', '', '', '', '', 'Customer Service', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Customer Service ', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Counsellor Job in Rohini Delhi,Counsellor,"['', '', '', 'Rohini', '', '₹ 5,000 to ₹ 21,000', '', '6 Months to 1 Year', '', '', 'B.A.', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '4 Opening (s)', '', '', '', '', 'Good communication, Basics of computer, Email writing & Etiquette, Counselling-Education, Counselling-Career', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good communication,Basics of computer,Email writing & Etiquette,Counselling-Education,Counselling-Career ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Gardener job in Surajpur Site C Greater Noida,Gardener,"['', '', '', 'Surajpur Site C', '', '₹ 9,000 to ₹ 11,000', '', '1 Month to 1 Year', '', '', 'Below 10th Standard', 'With Accommodation', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Raising plants from seeds/cuttings,  Digging,  planting and weeding,  Pruning shrubs and trees,  Health checkup of plants,  Pests knowledge,  Using lawn mowers/trimmers,  Landscaping,  Cleaning & maintaining equipment,  Laying patios,  Putting up sheds and fences,  practical skills to use tools,  Attention to detail', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Raising plants from seeds/cuttings, Digging, planting and weeding, Pruning shrubs and trees, Health checkup of plants, Pests knowledge, Using lawn mowers/trimmers, Landscaping, Cleaning & maintaining equipment, Laying patios, Putting up sheds and fences, practical skills to use tools, Atten ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Cook / Helper Job in RDC, Rajnagar Ghaziabad",Cook / Helper,"['', '', '', 'RDC, Rajnagar', '', '₹ 5,000 to ₹ 15,000', '', '1 Month to 5 Years', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '1 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-Non veg', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'CookHelper ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Engineer job in Akola Akola,Engineer,"['', '', '', 'Akola', '', '₹ 5,000 to ₹ 29,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Analytical ability,  Segment,  Good communication,  Detail oriented,  Desire to learn,  Good team player,  Creative & structured thinking,  Calmness under pressure,  Sound technical ability', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Analytical ability, Segment, Good communication, Detail oriented, Desire to learn, Good team player, Creative & structured thinking, Calmness under pressure, Sound technical ability ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Akola Akola,Sales / Marketing,"['', '', '', 'Akola', '', '₹ 5,000 to ₹ 30,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '20 Opening (s)', '', '', '', '', 'Promoter,  Brand Marketing,  Exhibition Planning,  Good communication,  Detail oriented,  Invoicing / Billing,  Good confidence level,  Distributor / Dealer sales,  Merchandized,  Door to door,  Field Sales,  Vendor Management,  Inventory Management', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Promoter, Brand Marketing, Exhibition Planning, Good communication, Detail oriented, Invoicing / Billing, Good confidence level, Distributor / Dealer sales, Merchandized, Door to door, Field Sales, Vendor Management, Inventory Management ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
BPO / Data Entry / Computer Operator Job in Shastri Nagar Delhi,BPO / Data Entry / Computer Operator,"['', '', '', 'Shastri Nagar', '', '₹ 5,000 to ₹ 13,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English', 'Hindi', '20 Opening (s)', '', '', '', '', 'Domestic, Inbound, Outbound, Non voice, Voice, Telesales, Technical support, Non technical support, Customer support, Basics of computer, MS Excel, Good communication, computer knowledge', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Domestic,Inbound,Outbound,Non voice,Voice,Telesales,Technical support,Non technical support,Customer support,Basics of computer,MS Excel,Good communication,Others ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing job in Akola Akola,Digital Marketing,"['', '', '', 'Akola', '', '₹ 15,000 to ₹ 33,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '20 Opening (s)', '', '', '', '', 'Marketing Platform,  Email writing & Etiquette,  MIS preparation,  Digital Media Planning', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Marketing Platform, Email writing & Etiquette, MIS preparation, Digital Media Planning ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
HR / Administrator Job in Ludhiana Ludhiana,HR / Administrator,"['', '', '', 'Ludhiana', '', '₹ 20,000 to ₹ 25,000', '', '2 Years to 4 Years', '', '', 'M.B.A. / PGBM', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English', 'English', '2 Opening (s)', '', '', '', '', 'Payroll processing, HRMS, Hiring process', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Bridging management and employee relations by addressing demands, grievances or other issues. ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Part Time / Full Time Online Work Opportunity,Sales / Marketing,"['', '', '', 'C scheme', '', '₹ 10,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '20 Opening (s)', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'We are seeking for a promote our tour and travel services on social media, classifieds links. ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Carpenter Job In Kasna Noida For Furniture Assembly And Installation,Carpenter,"['', '', '', 'Kasna', '', '₹ 9,000 to ₹ 12,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi', 'Hindi,English', '1 Opening (s)', '', '', '', '', 'Cutting, Drilling, Framing, Repairs, Assembling & installing', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Cutting,Drilling,Framing,Repairs,Assembling & installing ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing job in Mumbai,Digital Marketing,"['', '', '', 'Mumbai.', '', '₹ 7,000 to ₹ 25,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Part Time (Morning)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '25 Opening (s)', '', '', '', '', 'Articles writing ability,  Blog Management,  Digital Media Planning,  Marketing Platform', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Marketing Platform, Others - Advertisement  ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing Job in C-scheme Jaipur,Digital Marketing,"['', '', '', 'C-scheme', '', '₹ 10,000 to ₹ 20,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi,English', 'Hindi,English', '50 Opening (s)', '', '', '', '', 'basic computer', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'We are looking for an experienced Business Promoter to promote and oversee the work of employees in our company ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Nehru Nagar Ghaziabad,Cook / Helper,"['', '', '', 'Nehru Nagar', '', '₹ 5,000 to ₹ 19,000', '', '1 Month to 7+ Years', '', '', '10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-Non veg', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Can cook-Non veg ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing Job in GURGAON Gurgaon,Sales / Marketing,"['', '', '', 'GURGAON', '', '₹ 5,000 to ₹ 10,000', '', '6 Months to 3 Years', '', '', 'B.B.A.', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '10 Opening (s)', '', '', '', '', 'Good communication', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good communication ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Mansarovar Jaipur,Cook / Helper,"['', '', '', 'Mansarovar', '', '₹ 5,000 to ₹ 15,000', '', '6 Months to 1 Year', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-Punjabi, Can cook-North Indian', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Sara khana aana chahiye ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Chinhat Lucknow,Cook / Helper,"['', '', '', 'Chinhat', '', '₹ 5,000 to ₹ 16,000', '', '2 Years to 7+ Years', '', '', '10th Standard', 'Any Timing', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-Non veg, Can cook-Punjabi, Can cook-North Indian, Can cook-Chinese', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Can cook-Veg,Can cook-Non veg,Can cook-Punjabi,Can cook-North Indian,Can cook-Chinese ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
