Job,Position,Data
Architect Job in Mahipalpur Delhi,Architect,"


Mahipalpur

₹ 15,000 to ₹ 30,000

1 Month to 7+ Years


B.A.
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
5 Opening (s)




Design & drawing, Methodical approach, Analytical approach, Excellent maths, Good communication, Information Technology, Segment-Exterior Designing, Segment-Interior Designing




Job Description
 




Required Design & drawing,Methodical approach,Analytical approach,Excellent maths,Good communication,Information Technology,Segment-Exterior Designing,Segment-Interior Designing 








 CALL NOW













"
IT Software - Web Designing Job in Mahipalpur Delhi,IT Software - Web Designing,"


Mahipalpur

₹ 15,000 to ₹ 30,000

1 Month to 7+ Years


B.A.
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
5 Opening (s)




Graphic designer, Language-HTML, Language-XHTML, Language-CSS, Language-SQL, Tool-Flash, Tool-Photoshop, Platform-Dot Net Framework




Job Description
 




Required Graphic designer,Language-HTML,Language-XHTML,Language-CSS,Language-SQL,Tool-Flash,Tool-Photoshop,Platform-Dot Net Framework 








 CALL NOW













"
Urgent Requirement For Web Desining,IT Software - Web Designing,"


Mahipalpur

₹ 11,000 to ₹ 23,000

1 Month to 1 Year


Above Post Graduate
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
10 Opening (s)




Graphic designer




Job Description
 




Urgent Requirement For Web Desining 








 CALL NOW













"
Quality / Inspection Role job in Gandhi Nagar Delhi,Quality / Inspection Role,"


Gandhi Nagar

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


Below 10th Standard
Full Time (Day)



Female


Hindi
Hindi
1 Opening (s)




Good communication




Job Description
 




Required Good communication 








 CALL NOW













"
Digital Marketing Job in Mahipalpur Delhi,Digital Marketing,"


Mahipalpur

₹ 15,000 to ₹ 30,000

1 Month to 7+ Years


B.A.
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
5 Opening (s)




Strong IT knowledge, Articles writing ability, Blog Management, Digital Media Planning, MIS preparation, Email writing & Etiquette, Marketing Platform-Search Engine , Marketing Platform-Google AdWords, Marketing Platform-Google AdSense, Marketing Platform-Facebook , Marketing Platform-Linkedin , Marketing Platform-Twitter , Marketing Platform-Instagram 




Job Description
 




Required Strong IT knowledge,Articles writing ability,Blog Management,Digital Media Planning,MIS preparation,Email writing & Etiquette,Marketing Platform-Search Engine ,Marketing Platform-Google AdWor 








 CALL NOW













"
Digital Marketing Job in C-scheme Jaipur,Digital Marketing,"


C-scheme

₹ 10,000 to ₹ 15,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English
Hindi,English
25 Opening (s)




basic knowledge of computer




Job Description
 




In-short knowledge of performance on social media. ? Good computer skill. 








 CALL NOW













"
Office Assistant / Clerk / Back Office Job in Banaswadi Bengaluru,Office Assistant / Clerk / Back Office,"


Banaswadi

₹ 5,000 to ₹ 14,000

6 Months to 1 Year


10th Standard
Full Time (Day)



Female


English
English
2 Opening (s)




Basic book keeping, Cash & Bank handling, Communication centre, Basics of computer, Filing documents, Email writing & Etiquette




Job Description
 




Required Basic book keeping,Cash & Bank handling,Communication centre,Basics of computer,Filing documents,Email writing & Etiquette 









 APPLY NOW












"
Office Work ,Digital Marketing,"


Ramdaspeth

₹ 10,000 to ₹ 16,000






Fresher


12th Standard
Full Time (Day)




Any Gender

Marathi,Hindi
Marathi,Hindi
20 Opening (s)




Marketing Platform




Job Description
 




Urgent hiring new staff for office 








 CALL NOW













"
Incredible Work Opportunity To Work According To Your Rules And Earn Money.,Sales / Marketing,"


C Scheme

₹ 8,000 to ₹ 13,000






Fresher


12th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
30 Opening (s)




Basics of computer, Promoter, Good communication




Job Description
 




Required Basics of computer,Promoter,Good communication 







 APPLY NOW














"
Office Assistant / Clerk / Back Office job in Mundka Delhi,Office Assistant / Clerk / Back Office,"


Mundka, Dwarka Sec-10, Udyog nagar, Nangloi - iii, Pahar Ganj

₹ 15,000 to ₹ 25,000

6 Months to 5 Years


12th Standard
Full Time (Day)


Male



English,Hindi
English,Hindi
2 Opening (s)




Basics of computer,  Communication centre,  Cash & Bank handling,  Basic book keeping,  Inventory Management,  Others - Customer Handling




Job Description
 




Required Basics of computer, Communication centre, Cash & Bank handling, Basic book keeping, Inventory Management, Others - Customer Handling 









 APPLY NOW












"
